"Model","AIC","BIC","Deviance","Null_Deviance","Pseudo_R2"
"Model 7: Interaction + Slope",44946.666086331,44991.4140627671,44936.666086331,75229.050288225,0.402668704255003
"Model 6: Elevation * Log River Distance",45771.9419065493,45807.7402876982,45763.9419065493,75229.050288225,0.391671944133098
"Model 8: Nonlinear Elevation",45914.6280191391,45959.3759955752,45904.6280191391,75229.050288225,0.389801840601938
"Model 5: Elevation + Log River Distance + Slope",46149.0856395516,46184.8840207005,46141.0856395516,75229.050288225,0.386658671580043
"Model 4: Elevation + Log River Distance",47439.3784448173,47466.227230679,47433.3784448173,75229.050288225,0.369480562853234
"Model 1: Elevation",50054.9608518231,50072.8600423975,50050.9608518231,75229.050288225,0.334685727653574
"Model 3: Building Slope",57372.1355686481,57390.0347592226,57368.1355686481,75229.050288225,0.237420446637919
"Model 2: Log River Distance",64887.6866458775,64905.585836452,64883.6866458775,75229.050288225,0.137518200784288
