floodplain,exposed_buildings,exposed_building_area,buildings_exposed_ratio,building_area_exposed_ratio
fp100,21256,3265634.5400587176,0.3728076329451382,0.4412214685886733
fp50,18821,2900479.5560390702,0.33010032271643047,0.39188520136854355
fp25,16532,2564871.86098816,0.28995369720780134,0.34654108270995054
fp10,13349,2047240.9780954863,0.2341272625228006,0.27660372274662454
fp5,10810,1649546.776921769,0.18959590290444786,0.2228710660948757
fp2,8442,1236735.563895165,0.14806370141714606,0.16709594263044944
