"term","estimate","std.error","statistic","p.value"
"(Intercept)",20.6302908365772,0.610714807101033,33.7805643431275,3.80554111482798e-250
"elevation",-0.548150401066459,0.0133926870501358,-40.9290830894837,0
"log_river_distance",-1.30408087392315,0.0697624834000889,-18.6931544057029,5.6284614141775e-78
"building_slope",-0.170174022198254,0.00622863223659703,-27.3212505946936,2.37215030196091e-164
"elevation:log_river_distance",0.0508500744896293,0.001520178752892,33.4500626277612,2.5683563198302e-245
