date,pred_flow,river_flow,river_stage,flood_flag,cause,flood_type
1975-04-30,18.0332,4.27,NA,0,NA,NA
1975-05-01,17.0907,4.02,NA,0,NA,NA
1975-05-02,16.1415,3.78,NA,0,NA,NA
1975-05-03,14.9826,3.68,NA,0,NA,NA
1975-05-04,13.9263,3.54,NA,0,NA,NA
1975-05-05,13.3971,3.3,NA,0,NA,NA
1975-05-06,13.1022,3.32,NA,0,NA,NA
1975-05-07,12.7887,3.49,NA,0,NA,NA
1975-05-08,12.3069,3.12,NA,0,NA,NA
1975-05-09,12.253,3.55,NA,0,NA,NA
1975-05-10,13.7449,4.29,NA,0,NA,NA
1975-05-11,15.4373,5.59,NA,0,NA,NA
1975-05-12,34.2957,5.05,NA,0,NA,NA
1975-05-13,39.9596,6.94,NA,0,NA,NA
1975-05-14,35.5331,7.95,NA,0,NA,NA
1975-05-15,31.2778,5.78,NA,0,NA,NA
1975-05-16,79.6578,5.15,NA,0,NA,NA
1975-05-17,78.8291,5.62,NA,0,NA,NA
1975-05-18,67.2487,4.87,NA,0,NA,NA
1975-05-19,58.4875,4.49,NA,0,NA,NA
1975-05-20,51.3223,4.01,NA,0,NA,NA
1975-05-21,45.2374,4.04,NA,0,NA,NA
1975-05-22,40.9714,3.77,NA,0,NA,NA
1975-05-23,37.8696,4.02,NA,0,NA,NA
1975-05-24,34.798,4.25,NA,0,NA,NA
1975-05-25,31.983,4.49,NA,0,NA,NA
1975-05-26,31.4709,4.56,NA,0,NA,NA
1975-05-27,32.0369,4.15,NA,0,NA,NA
1975-05-28,32.6298,5.04,NA,0,NA,NA
1975-05-29,31.3996,4.83,NA,0,NA,NA
1975-05-30,29.6497,4.48,NA,0,NA,NA
1975-05-31,235.105,5.28,NA,0,NA,NA
1975-06-01,352.642,5.95,NA,0,NA,NA
1975-06-02,421.04,5.76,NA,0,NA,NA
1975-06-03,287.373,6.16,NA,0,NA,NA
1975-06-04,193.154,5.36,NA,0,NA,NA
1975-06-05,146.44,5.13,NA,0,NA,NA
1975-06-06,123.154,4.87,NA,0,NA,NA
1975-06-07,107.338,4.28,NA,0,NA,NA
1975-06-08,92.9767,3.8,NA,0,NA,NA
1975-06-09,81.0099,3.46,NA,0,NA,NA
1975-06-10,72.7436,3.34,NA,0,NA,NA
1975-06-11,76.3684,6.07,NA,0,NA,NA
1975-06-12,78.0031,22.23,NA,0,NA,NA
1975-06-13,73.3903,54.07,NA,0,NA,NA
1975-06-14,66.4657,27.99,NA,0,NA,NA
1975-06-15,58.3101,18.45,NA,0,NA,NA
1975-06-16,50.986,11.77,NA,0,NA,NA
1975-06-17,45.0214,7.75,NA,0,NA,NA
1975-06-18,40.5417,8.93,NA,0,NA,NA
1975-06-19,38.5878,8.41,NA,0,NA,NA
1975-06-20,42.5679,10.11,NA,0,NA,NA
1975-06-21,44.5206,48.57,NA,0,NA,NA
1975-06-22,44.9842,39.54,NA,0,NA,NA
1975-06-23,46.4757,27.23,NA,0,NA,NA
1975-06-24,45.7601,14.26,NA,0,NA,NA
1975-06-25,42.9029,19.91,NA,0,NA,NA
