date,flow
6/14/20,100.357
6/15/20,78.2764
6/16/20,63.6919
6/17/20,53.5829
6/18/20,46.3843
6/19/20,40.679
6/20/20,36.1216
6/21/20,32.4068
6/22/20,30.163
6/23/20,34.6715
6/24/20,58.9042
6/25/20,120.586
6/26/20,105.128
6/27/20,81.6706
6/28/20,66.7585
6/29/20,56.6278
6/30/20,48.6992
7/1/20,43.8364
7/2/20,39.7689
7/3/20,37.4193
7/4/20,34.2109
7/5/20,30.9499
7/6/20,28.8788
7/7/20,27.0057
7/8/20,25.8364
7/9/20,24.7103
7/10/20,23.5286
7/11/20,22.2612
7/12/20,21.9645
7/13/20,20.1558
7/14/20,17.4919
7/15/20,15.3897
7/16/20,14.5689
7/17/20,14.2504
7/18/20,14.0269
7/19/20,13.7717
7/20/20,13.0275
7/21/20,12.3643
7/22/20,11.6264
7/23/20,10.4241
7/24/20,9.50865
7/25/20,8.8809
7/26/20,8.53002
7/27/20,10.3594
7/28/20,25.9563
7/29/20,42.6404
7/30/20,42.1041
7/31/20,40.396
8/1/20,38.9309
8/2/20,36.9209
8/3/20,34.3435
8/4/20,30.805
8/5/20,27.1034
8/6/20,23.3467
8/7/20,20.5701
8/8/20,20.5449
8/9/20,121.296
8/10/20,108.467
8/11/20,98.7294
8/12/20,85.5639
8/13/20,71.4039
8/14/20,61.6088
8/15/20,54.0646
8/16/20,48.9998
8/17/20,57.8851
8/18/20,56.0301
8/19/20,49.0266
8/20/20,42.2356
8/21/20,36.5976
8/22/20,31.7562
8/23/20,27.7983
8/24/20,28.4305
8/25/20,129.433
8/26/20,286.075
8/27/20,278.171
8/28/20,184.025
8/29/20,128.798
8/30/20,101.212
8/31/20,83.2234
9/1/20,69.9391
9/2/20,59.5383
9/3/20,50.9524
9/4/20,53.6012
9/5/20,97.0886
9/6/20,183.845
9/7/20,230.281
9/8/20,165.817
9/9/20,118.829
9/10/20,174.424
9/11/20,269.161
9/12/20,243.246
9/13/20,175.746
9/14/20,136.596
9/15/20,132.228
9/16/20,419.328
9/17/20,310.321
9/18/20,210.562
9/19/20,160.828
9/20/20,132.267
9/21/20,110.68
9/22/20,94.1758
9/23/20,81.1801
9/24/20,70.2691
9/25/20,61.4944
9/26/20,55.3616
9/27/20,49.7712
9/28/20,44.1342
9/29/20,560.162
9/30/20,331.842
10/1/20,196.523
10/2/20,137.977
10/3/20,106.609
10/4/20,86.6809
10/5/20,72.2601
10/6/20,61.0685
10/7/20,51.9875
10/8/20,44.4395
10/9/20,38.0631
10/10/20,32.7777
10/11/20,28.1718
10/12/20,24.9264
10/13/20,24.566
10/14/20,25.3735
10/15/20,23.8235
10/16/20,35.7416
10/17/20,37.4237
10/18/20,33.9144
10/19/20,28.5803
10/20/20,24.4896
10/21/20,21.1531
10/22/20,18.0488
10/23/20,15.1915
10/24/20,12.6656
10/25/20,10.5087
10/26/20,8.84444
10/27/20,7.84285
10/28/20,7.47163
10/29/20,10.9139
10/30/20,14.6438
10/31/20,13.8676
11/1/20,11.5274
11/2/20,9.832
11/3/20,9.56623
11/4/20,10.008
11/5/20,9.33425
11/6/20,8.3403
11/7/20,7.97996
11/8/20,7.60055
11/9/20,7.15623
11/10/20,6.93784
11/11/20,6.88845
11/12/20,6.98253
11/13/20,7.7793
11/14/20,8.78614
11/15/20,9.19168
11/16/20,9.55377
11/17/20,24.7831
11/18/20,86.8275
11/19/20,73.5165
11/20/20,61.057
11/21/20,65.7243
11/22/20,59.5027
11/23/20,49.199
11/24/20,40.9222
11/25/20,34.296
11/26/20,28.9099
11/27/20,25.2494
11/28/20,22.233
11/29/20,19.7055
11/30/20,71.5027
12/1/20,65.9817
12/2/20,49.1311
12/3/20,38.0282
12/4/20,31.3855
12/5/20,27.17
12/6/20,24.1772
12/7/20,22.0672
12/8/20,19.1829
12/9/20,16.2796
12/10/20,13.8153
12/11/20,11.8199
12/12/20,10.3011
12/13/20,9.28554
12/14/20,8.74405
12/15/20,9.45522
12/16/20,9.38119
12/17/20,8.59517
12/18/20,8.53912
12/19/20,8.63352
12/20/20,8.15833
12/21/20,8.01088
12/22/20,8.5601
12/23/20,9.34788
12/24/20,9.99033
12/25/20,11.9236
12/26/20,11.9079
12/27/20,10.2721
12/28/20,9.03479
12/29/20,8.21324
12/30/20,7.73254
12/31/20,7.32184
1/1/21,12.414
1/2/21,25.0584
1/3/21,27.0984
1/4/21,23.7527
1/5/21,19.6915
1/6/21,16.7147
1/7/21,14.8764
1/8/21,13.3162
1/9/21,11.6854
1/10/21,10.9459
1/11/21,12.5403
1/12/21,15.3479
1/13/21,15.4162
1/14/21,14.0386
1/15/21,12.2735
1/16/21,10.7599
1/17/21,10.5066
1/18/21,10.2843
1/19/21,9.67874
1/20/21,9.65172
1/21/21,11.1779
1/22/21,11.1866
1/23/21,9.63353
1/24/21,8.51577
1/25/21,7.87103
1/26/21,7.37687
1/27/21,7.02403
1/28/21,26.014
1/29/21,31.5482
1/30/21,27.137
1/31/21,22.3238
2/1/21,58.7912
2/2/21,56.0933
2/3/21,42.2851
2/4/21,32.4439
2/5/21,25.8381
2/6/21,21.0079
2/7/21,17.7407
2/8/21,15.1914
2/9/21,13.1839
2/10/21,11.5273
2/11/21,10.4838
2/12/21,11.1303
2/13/21,14.3237
2/14/21,16.6762
2/15/21,17.8526
2/16/21,18.5073
2/17/21,16.8432
2/18/21,14.4909
2/19/21,14.2216
2/20/21,15.4977
2/21/21,14.7011
2/22/21,12.8772
2/23/21,11.3446
2/24/21,10.6256
2/25/21,10.0967
2/26/21,9.37982
2/27/21,8.91694
2/28/21,8.47731
3/1/21,8.02041
3/2/21,20.5496
3/3/21,26.6169
3/4/21,22.9267
3/5/21,18.6536
3/6/21,15.7252
3/7/21,14.8384
3/8/21,13.9812
3/9/21,12.9729
3/10/21,12.4203
3/11/21,11.6295
3/12/21,10.4705
3/13/21,10.2806
3/14/21,11.0111
3/15/21,10.5878
3/16/21,9.76684
3/17/21,9.11374
3/18/21,8.47985
3/19/21,8.05598
3/20/21,7.66191
3/21/21,7.31944
3/22/21,7.03089
3/23/21,6.7351
3/24/21,6.57272
3/25/21,6.53089
3/26/21,6.51048
3/27/21,6.49436
3/28/21,6.48878
3/29/21,20.7658
3/30/21,27.282
3/31/21,22.9419
4/1/21,32.1719
4/2/21,45.1682
4/3/21,41.3769
4/4/21,35.4418
4/5/21,30.5251
4/6/21,25.7667
4/7/21,21.9526
4/8/21,18.7634
4/9/21,15.8391
4/10/21,13.4174
4/11/21,11.4388
4/12/21,9.90417
4/13/21,8.89137
4/14/21,8.15329
4/15/21,7.58903
4/16/21,7.1952
4/17/21,7.02661
4/18/21,8.17612
4/19/21,12.1016
4/20/21,14.9607
4/21/21,25.8064
4/22/21,31.9604
4/23/21,30.9384
4/24/21,26.4377
4/25/21,22.1186
4/26/21,19.0684
4/27/21,16.6098
4/28/21,14.4972
4/29/21,12.6613
4/30/21,14.356
5/1/21,18.8182
5/2/21,20.8777
5/3/21,19.7139
5/4/21,16.9564
5/5/21,14.4827
5/6/21,15.0591
5/7/21,16.376
5/8/21,16.2972
5/9/21,14.8646
5/10/21,12.8442
5/11/21,24.6192
5/12/21,29.0124
5/13/21,483.286
5/14/21,286.327
5/15/21,171.86
5/16/21,120.723
5/17/21,93.4681
5/18/21,76.3968
5/19/21,64.0899
5/20/21,238.829
5/21/21,175.902
5/22/21,118.527
5/23/21,89.723
5/24/21,72.7072
5/25/21,61.443
5/26/21,53.5243
5/27/21,47.268
5/28/21,41.5105
5/29/21,36.1176
5/30/21,32.6818
5/31/21,30.0347
6/1/21,27.2462
6/2/21,25.6636
6/3/21,95.1088
6/4/21,104.057
6/5/21,82.9322
6/6/21,65.4806
6/7/21,52.7913
6/8/21,43.5009
6/9/21,37.0095
6/10/21,33.7785
6/11/21,31.6447
6/12/21,29.6599
6/13/21,42.9803
6/14/21,101.946
6/15/21,101.68
6/16/21,80.9504
6/17/21,89.01
6/18/21,88.4006
6/19/21,79.7914
6/20/21,71.2104
6/21/21,61.1708
6/22/21,52.757
6/23/21,47.9025
6/24/21,45.8442
6/25/21,61.6599
6/26/21,64.8152
6/27/21,62.1819
6/28/21,74.1871
6/29/21,77.7277
6/30/21,81.9451
7/1/21,162.08
7/2/21,137.947
7/3/21,112.775
7/4/21,93.8356
7/5/21,85.303
7/6/21,77.3405
7/7/21,83.3618
7/8/21,93.6115
7/9/21,117.298
7/10/21,101.332
7/11/21,92.0232
7/12/21,79.9627
7/13/21,92.2773
7/14/21,88.2891
7/15/21,96.6471
7/16/21,86.6223
7/17/21,73.7452
7/18/21,67.4186
7/19/21,62.1068
7/20/21,55.5924
7/21/21,51.8721
7/22/21,52.3964
7/23/21,49.9865
7/24/21,45.0906
7/25/21,39.6805
7/26/21,34.5802
7/27/21,30.2291
7/28/21,26.4026
7/29/21,24.1256
7/30/21,73.5955
7/31/21,80.8524
8/1/21,65.7328
8/2/21,53.0198
8/3/21,45.8233
8/4/21,45.5395
8/5/21,44.6066
8/6/21,40.8306
8/7/21,37.0591
8/8/21,35.2775
8/9/21,37.0902
8/10/21,41.653
8/11/21,40.7782
8/12/21,37.5459
8/13/21,34.7014
8/14/21,31.2539
8/15/21,27.9094
8/16/21,24.8031
8/17/21,22.1946
8/18/21,20.3616
8/19/21,18.9822
8/20/21,18.6533
8/21/21,1142.38
8/22/21,697.965
8/23/21,363.77
8/24/21,238.729
8/25/21,189.382
8/26/21,169.776
8/27/21,145.09
8/28/21,122.597
8/29/21,106.241
8/30/21,95.7007
8/31/21,88.3476
9/1/21,93.2447
9/2/21,146.675
9/3/21,131.053
9/4/21,107.095
9/5/21,93.7032
9/6/21,86.7578
9/7/21,79.8135
9/8/21,71.1621
9/9/21,62.8285
9/10/21,57.0577
9/11/21,52.5996
9/12/21,53.4093
9/13/21,54.3699
9/14/21,52.7119
9/15/21,49.043
9/16/21,47.1751
9/17/21,45.7522
9/18/21,51.6593
9/19/21,80.9331
9/20/21,78.2626
9/21/21,62.8512
9/22/21,54.4971
9/23/21,74.8051
9/24/21,69.5708
9/25/21,60.3998
9/26/21,53.8256
9/27/21,47.5862
9/28/21,41.7738
9/29/21,37.4769
9/30/21,43.0641
10/1/21,47.0948
10/2/21,49.3647
10/3/21,47.7206
10/4/21,48.0551
10/5/21,103.568
10/6/21,97.134
10/7/21,76.777
10/8/21,61.3192
10/9/21,50.2663
10/10/21,42.1667
